county,fips,date,wrf_pm,wrf_nf_pm,wrf_smk_pm,geo_wt_pm,global_reg_pm,krig_pm,background_pm,geo_smk_pm,global_smk_pm,krig_smk_pm,wrf_temp,wrf_pbl
Whitman,075,2012-07-04,7.96119926698002,8.57591552209006,0.0732507701515038,7.56461550024176,7.85913318885979,7.83009957884688,6.83957592036849,0.83199412074606,1.07021675406676,1.07929786089524,294.814647217705,1303.43395120593
Whitman,075,2012-07-05,9.76458912632703,9.96918760606629,0,4.88400527633492,5.41665696222555,5.01789544594017,6.83957592036849,0,0,0,296.784151616454,1196.14455112625
Whitman,075,2012-07-06,10.3130116936207,8.86997426717426,1.44303742644643,5.66075195420573,6.21073118388954,5.82659598709121,6.83957592036849,0,0,0,298.379900327332,1042.94248300393
Whitman,075,2012-07-07,12.9273136945108,9.0582589400471,3.86905475446373,7.22101043329525,7.87745389572769,7.43926549046499,6.83957592036849,0.398048763370844,1.03787797535921,0.602243272029974,301.166600597893,1018.27965678497
Whitman,075,2012-07-08,13.0021340031304,9.63205579959402,3.37007820353635,7.03870270097853,7.67456090824725,7.2573645439128,6.83957592036849,0.205592574336538,0.834984987878767,0.418997086103766,302.357060863048,1091.94046939631
Whitman,075,2012-07-09,13.783464073142,12.982253148339,0.905880883570368,6.75563082140605,7.4702024865634,6.9479777833669,6.83957592036849,0.023618452512832,0.630626605009731,0.154608451329802,299.886837404706,1295.84577777498
Whitman,075,2012-07-10,13.2490584433667,15.1108737083572,0.00470057766444737,9.44313779006299,9.990393885336,9.7683472747657,6.83957592036849,2.60356186969451,3.15081796496752,2.92877135439722,298.599455058309,1082.45544004236
Whitman,075,2012-07-11,14.04571919665,15.0195539697682,0.000197079576266779,11.0572155417949,11.599747983058,11.4526901691262,6.83957592036849,4.2176396214264,4.76017206268947,4.61311424875769,303.504346031185,1162.09390967923
Whitman,075,2012-07-12,13.2404778238978,14.3723356752936,0.00221034511446735,11.9432881945735,12.4637037045211,12.3695039409205,6.83957592036849,5.10371227420497,5.62412778415257,5.529928020552,298.134162168811,1215.87805914812
Whitman,075,2012-07-13,12.8464172751946,14.1649831478228,0,8.33510235375862,9.02667929458247,8.59120691537993,6.83957592036849,1.49552643339013,2.18710337421398,1.75163099501144,299.414261835168,1198.10464650624
Whitman,075,2012-07-14,11.6568206941003,15.5179510641271,0,9.05981079875467,9.81853105287849,9.30951780442549,6.83957592036849,2.22023487838618,2.97895513251,2.469941884057,298.138942314206,1637.91812121276
Whitman,075,2012-07-15,10.8424718658088,13.463889343018,0,6.85122481044301,7.52280032856313,7.03905529087258,6.83957592036849,0.0520644724691464,0.697241693644923,0.221451417955054,297.58882625851,1251.58796090598
Whitman,075,2012-07-16,16.3687296335945,13.3199206282066,3.08797504305774,5.4682690089953,6.49279741337891,5.57254645557813,6.83957592036849,0.000648146476523994,0.0396094694677793,0.000811867880348355,292.945746490233,1222.310941063
