WRFGRID_ID,Longitude,Latitude,
 168,-123.779, 46.01174,   12.045
 169,-123.801, 46.15062,   12.836
 170,-123.823, 46.28950,      NaN
 171,-123.846, 46.42835,    2.794
 172,-123.868, 46.56720,    7.506
 173,-123.890, 46.70605,   13.098
 174,-123.913, 46.84488,   17.712
 175,-123.936, 46.98370,  104.350
 176,-123.959, 47.12250,    2.686
 177,-123.982, 47.26130,    2.686
 178,-124.005, 47.40008,    2.024
 179,-124.028, 47.53885,    1.028
 180,-124.051, 47.67760,    0.240
 181,-124.075, 47.81633,    0.240
 182,-124.098, 47.95504,    3.036
 183,-124.122, 48.09375,    2.415
 184,-124.146, 48.23242,    2.371
 185,-124.170, 48.37109,      NaN
 186,-124.194, 48.50972,      NaN
 187,-124.218, 48.64834,      NaN
 188,-124.242, 48.78693,      NaN
 189,-124.267, 48.92551,      NaN
 190,-123.473, 45.33223,   11.539
 191,-123.494, 45.47116,   10.114
 192,-123.515, 45.61009,   10.296
 193,-123.536, 45.74902,    6.272
 194,-123.557, 45.88794,    3.131
 195,-123.579, 46.02686,    3.216
 196,-123.601, 46.16577,    8.616
 197,-123.622, 46.30468,    6.110
 198,-123.644, 46.44358,    3.063
 199,-123.666, 46.58246,    2.861
 200,-123.688, 46.72135,   10.579
 201,-123.710, 46.86021,    4.908
 202,-123.732, 46.99907,   52.758
 203,-123.755, 47.13792,    2.960
 204,-123.777, 47.27676,    2.686
 205,-123.800, 47.41557,    2.686
 206,-123.822, 47.55438,    0.976
 207,-123.845, 47.69316,    0.240
 208,-123.868, 47.83194,    0.240
 209,-123.891, 47.97070,    3.518
 210,-123.914, 48.10944,    3.221
 211,-123.938, 48.24815,      NaN
 212,-123.961, 48.38685,      NaN
 213,-123.985, 48.52553,      NaN
 214,-124.008, 48.66418,      NaN
 215,-124.032, 48.80282,      NaN
 216,-124.056, 48.94143,      NaN
 217,-123.275, 45.34681,   14.953
 218,-123.296, 45.48578,    7.685
 219,-123.316, 45.62475,    7.576
 220,-123.337, 45.76371,   13.568
 221,-123.358, 45.90267,    6.589
 222,-123.379, 46.04163,    8.089
 223,-123.400, 46.18058,    5.053
 224,-123.421, 46.31952,    6.107
 225,-123.442, 46.45846,    2.794
 226,-123.464, 46.59737,    2.862
 227,-123.485, 46.73630,    8.579
 228,-123.507, 46.87520,    4.789
 229,-123.529, 47.01410,   19.657
 230,-123.550, 47.15298,   10.552
 231,-123.572, 47.29186,   10.317
 232,-123.594, 47.43071,    8.053
 233,-123.617, 47.56955,    0.591
 234,-123.639, 47.70838,    0.240
 235,-123.661, 47.84719,    0.299
 236,-123.684, 47.98599,    3.518
 237,-123.706, 48.12476,    3.518
 238,-123.729, 48.26352,      NaN
 239,-123.752, 48.40226,      NaN
 240,-123.775, 48.54098,      NaN
 241,-123.798, 48.67967,      NaN
 242,-123.821, 48.81834,      NaN
 243,-123.845, 48.95699,      NaN
 244,-123.077, 45.36105,   77.122
 245,-123.097, 45.50006,  102.811
 246,-123.117, 45.63906,   28.121
 247,-123.138, 45.77806,   16.841
 248,-123.158, 45.91706,    7.642
 249,-123.179, 46.05605,   13.949
 250,-123.199, 46.19503,   12.092
 251,-123.220, 46.33401,   14.679
 252,-123.241, 46.47298,   10.119
 253,-123.262, 46.61194,   10.119
 254,-123.283, 46.75090,    6.956
 255,-123.304, 46.88984,    4.789
 256,-123.325, 47.02877,   29.267
 257,-123.346, 47.16769,   10.617
 258,-123.368, 47.30660,    2.151
 259,-123.389, 47.44550,    0.768
 260,-123.411, 47.58437,    0.785
 261,-123.433, 47.72324,    2.056
 262,-123.454, 47.86208,    2.720
 263,-123.476, 48.00092,    5.896
 264,-123.499, 48.13973,  360.662
 265,-123.521, 48.27853,      NaN
 266,-123.543, 48.41730,      NaN
 267,-123.566, 48.55606,      NaN
 268,-123.588, 48.69478,      NaN
 269,-123.611, 48.83349,      NaN
 270,-123.634, 48.97218,      NaN
 271,-122.879, 45.37495,  351.309
 272,-122.899, 45.51399, 1481.341
 273,-122.919, 45.65303,   70.819
 274,-122.938, 45.79207,   71.553
 275,-122.958, 45.93109,   24.881
 276,-122.978, 46.07013,   36.101
 277,-122.998, 46.20914,  337.624
 278,-123.019, 46.34816,   16.305
 279,-123.039, 46.48716,   18.925
 280,-123.059, 46.62616,   17.566
 281,-123.080, 46.76515,   28.036
 282,-123.100, 46.90413,   54.792
 283,-123.121, 47.04309,   53.273
 284,-123.142, 47.18204,   95.399
 285,-123.163, 47.32099,   42.332
 286,-123.184, 47.45992,    4.049
 287,-123.205, 47.59883,    1.014
 288,-123.226, 47.73774,    2.310
 289,-123.247, 47.87663,    3.108
 290,-123.269, 48.01549,   20.517
 291,-123.290, 48.15434,      NaN
 292,-123.312, 48.29317,      NaN
 293,-123.334, 48.43198,      NaN
 294,-123.356, 48.57077,      NaN
 295,-123.378, 48.70954,      NaN
